Product Title,Product SKU,Product Information,Sales Per Case
1950'S DECADE BOX 9 OZ,"SKU
52155","More Information                    




More Information


Kosher
No


Brand
NANCY ADAMS


UPC
618645521554


GTIN (case)
10618645521551


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
1960'S DECADE BOX 9.25 OZ,"SKU
52156","More Information                    




More Information


Kosher
No


Brand
NANCY ADAMS


UPC
618645521561


GTIN (case)
10618645521568


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
1970'S DECADE BOX 6.5 OZ,"SKU
52157","More Information                    




More Information


Kosher
No


Brand
NANCY ADAMS


UPC
618645521578


GTIN (case)
10618645521575


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
1980'S DECADE BOX 7.6 OZ,"SKU
52158","More Information                    




More Information


Kosher
No


Brand
NANCY ADAMS


UPC
618645521585


GTIN (case)
10618645521582


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
1990'S DECADE BOX 7.6 OZ,"SKU
52159","More Information                    




More Information


Kosher
No


Brand
NANCY ADAMS


UPC
618645521592


GTIN (case)
10618645521599


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
2000'S DECADE 6.80 OZ BOX,"SKU
52160","More Information                    




More Information


Kosher
No


Brand
NANCY ADAMS


UPC
618645521608


GTIN (case)
10618645521605


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
CLEVER CANDY - BULK SUGAR STRAWS - PK10LB,"SKU
52584","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645525842


GTIN (case)
10618645525849


Certifications
Gluten Free


Country of Manufacture
Colombia


Pallet Pattern
13 cases per layer, 11 layers. 143 total cases per pallet.",
CLEVER CANDY - COMET CRUSHER - 4IN - JAWBREAKER,"SKU
53035","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645530358


GTIN (case)
10618645530355


Certifications
Gluten Free


Country of Manufacture
China


Pallet Pattern
15 cases per layer, 9 layers. 135 total cases per pallet.",
CLEVER CANDY - GIANT FILLED STRAWS - .42OZ *P,"SKU
51701","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645517014


UPC (inner)
618645917012


GTIN (case)
10618645520172


Certifications
Gluten Free


Country of Manufacture
China


Pallet Pattern
8 cases per layer, 8 layers. 64 total cases per pallet.",
CLEVER CANDY - STRAW - 100CT - 6.5OZ *P,"SKU
51959","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645519599


GTIN (case)
10618645519596


Certifications
Gluten Free


Country of Manufacture
Colombia


Pallet Pattern
23 cases per layer, 6 layers. 138 total cases per pallet.",
CLEVER CANDY - STRAWS - 2.75OZ,"SKU
51586","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645515867


GTIN (case)
10618645515864


Certifications
Gluten Free


Country of Manufacture
Colombia


Pallet Pattern
28 cases per layer, 6 layers. 168 total cases per pallet.",
CLEVER CANDY 3D GUMMY APPLES,"SKU
46871","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645468712


Country of Manufacture
China


Pallet Pattern
10 cases per layer, 15 layers. 150 total cases per pallet.",
CLEVER CANDY 3D GUMMY BUILDING BLOCKS,"SKU
41099","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645410995


Country of Manufacture
China


Pallet Pattern
10 cases per layer, 15 layers. 150 total cases per pallet.",
CLEVER CANDY 3D GUMMY CHUBBY BEARS,"SKU
41674","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645416744


Country of Manufacture
China


Pallet Pattern
10 cases per layer, 15 layers. 150 total cases per pallet.",
